chapter,stage,stamina_cost,first_clear_diamond,first_clear_exp_book_s,first_clear_exp_book_m,first_clear_exp_book_l,first_clear_fragments,first_clear_skill_book,repeat_diamond,repeat_exp_book_s,repeat_exp_book_m,repeat_gold,star1_reward,star2_reward,star3_reward,difficulty_hard_mult,difficulty_nightmare_mult,notes
1,1,6,20,3,0,0,0,0,0,2,0,500,钻石×5,经验书小×2,经验书中×1,1.5,2.5,教学关-放塔
1,2,6,20,3,0,0,0,0,0,2,0,500,钻石×5,经验书小×2,经验书中×1,1.5,2.5,教学关-升级
1,3,6,20,3,0,0,0,0,0,2,0,500,钻石×5,经验书小×2,经验书中×1,1.5,2.5,教学关-出售
1,4,6,20,3,1,0,0,0,0,2,0,600,钻石×5,经验书小×2,召唤券×1,1.5,2.5,
1,5,6,30,3,1,0,0,0,0,2,0,600,钻石×10,经验书中×2,碎片通用×5,1.5,2.5,首章最后一关
2,1,6,20,3,1,0,0,0,0,2,0,600,钻石×5,经验书小×3,经验书中×1,1.5,2.5,
2,2,6,20,3,1,0,0,0,0,2,0,600,钻石×5,经验书小×3,经验书中×1,1.5,2.5,
2,3,6,20,3,1,0,0,0,0,3,0,700,钻石×5,经验书小×3,经验书中×2,1.5,2.5,
2,4,6,20,3,1,0,0,0,0,3,0,700,钻石×5,经验书中×1,技能书×2,1.5,2.5,
2,5,6,30,3,1,0,0,1,0,3,0,700,钻石×10,召唤券×1,碎片通用×5,1.5,2.5,
3,1-5,6,20-30,3,1,0,0,0-1,0,3,0,700-800,钻石×5-10,经验书中×1-2,技能书/碎片,1.5,2.5,递增奖励
4,1-5,6,20-30,4,1,0,0,0-1,0,3,1,800-900,钻石×5-10,经验书中×1-2,技能书/碎片,1.5,2.5,
5,1-5,6,25-40,4,2,0,0,0-1,0,3,1,900-1000,钻石×8-15,经验书中×2,召唤券/碎片,1.5,2.5,首Boss关额外奖励
6,1-5,7,25-35,4,2,0,0,0-1,0,3,1,1000,钻石×8-12,经验书中×2,技能书×2,1.5,2.5,体力消耗开始增加
7,1-5,7,25-35,4,2,1,0,0-1,0,3,1,1000-1100,钻石×8-12,经验书大×1,碎片×5,1.5,2.5,
8,1-5,7,25-35,4,2,1,0,0-1,0,4,1,1100,钻石×8-12,经验书大×1,碎片×8,1.5,2.5,双Boss首现
9,1-5,7,25-35,4,2,1,0,0-1,0,4,1,1100-1200,钻石×8-12,经验书大×1,技能书×3,1.5,2.5,
10,1-5,7,40-60,5,3,1,5,1,0,4,1,1200-1500,钻石×15-20,召唤券×1,碎片×10+大经验×3,1.5,2.5,里程碑章大额奖励
11-15,1-5,8,25-40,5,3,1,0,0-1,0,4,1,1200-1500,钻石×10,经验大×1,碎片/技能书,1.5,2.5,中难度区间
15,5,8,60,6,3,2,10,2,0,4,1,1800,钻石×25,召唤券×2,碎片×15+大经验×5,1.5,2.5,15章Boss额外奖励
16-19,1-5,8,25-40,5,3,1,0,0-1,0,5,1,1500-1800,钻石×10-15,经验大×1,技能书/碎片,1.5,2.5,
20,1-5,8,50-80,6,4,2,10,2,0,5,2,2000-2500,钻石×20-30,召唤券×2,碎片×20+SSR碎片×5,1.5,2.5,里程碑章
21-24,1-5,9,30-40,6,4,1,0,0-1,0,5,2,2000-2200,钻石×12-18,经验大×2,碎片/技能书,1.5,2.5,
25,1-5,9,60-100,7,5,2,15,2,0,6,2,2500-3000,钻石×25-40,召唤券×3,碎片×25+SSR碎片×10,1.5,2.5,里程碑章
26-29,1-5,10,30-50,7,5,2,0,0-2,0,6,2,2500-3000,钻石×15-20,经验大×2,碎片/技能书,1.5,2.5,
30,1-5,10,80-150,8,6,3,20,3,0,7,3,3000-4000,钻石×30-50,召唤券×5,碎片×30+SSR碎片×20,1.5,2.5,终章巨额奖励