chapter,tower_permanent_atk_multiplier,tower_permanent_atkspd_multiplier,tower_permanent_range_multiplier,tower_permanent_hp_multiplier,gold_mine_permanent_multiplier,notes
1,1.00,1.00,1.00,1.00,1.00,基准章节无加成
2,1.00,1.00,1.00,1.00,1.00,未解锁永久升级
3,1.00,1.00,1.00,1.00,1.00,未解锁永久升级
4,1.02,1.00,1.00,1.00,1.00,解锁永久升级I-攻击+2%
5,1.04,1.01,1.00,1.00,1.02,攻击+4%攻速+1%金矿+2%
6,1.06,1.02,1.00,1.00,1.04,
7,1.08,1.03,1.00,1.00,1.06,
8,1.10,1.04,1.01,1.00,1.08,射程首次+1%
9,1.12,1.05,1.01,1.00,1.10,
10,1.15,1.06,1.02,1.00,1.12,里程碑章节攻击+15%
11,1.18,1.07,1.02,1.00,1.14,
12,1.21,1.08,1.03,1.00,1.16,
13,1.24,1.09,1.03,1.00,1.18,
14,1.27,1.10,1.04,1.00,1.20,
15,1.30,1.12,1.04,1.00,1.24,里程碑章节攻击+30%攻速+12%
16,1.33,1.13,1.05,1.00,1.26,
17,1.36,1.14,1.05,1.00,1.28,
18,1.39,1.15,1.06,1.00,1.30,
19,1.42,1.16,1.06,1.00,1.32,
20,1.45,1.18,1.07,1.00,1.36,里程碑章节攻击+45%攻速+18%
21,1.48,1.19,1.07,1.00,1.38,
22,1.51,1.20,1.08,1.00,1.40,
23,1.54,1.21,1.08,1.00,1.42,
24,1.57,1.22,1.09,1.00,1.44,
25,1.60,1.24,1.09,1.00,1.48,里程碑章节攻击+60%攻速+24%
26,1.63,1.25,1.10,1.00,1.50,
27,1.66,1.26,1.10,1.00,1.52,
28,1.69,1.27,1.11,1.00,1.54,
29,1.72,1.28,1.11,1.00,1.56,
30,1.75,1.30,1.12,1.00,1.60,终章攻击+75%攻速+30%金矿+60%